id,name,type,floor,px,py
hall_east,会堂东门,entrance,1,1790,1260
hall_south,会堂南门,entrance,1,1740,1398
stair_1,楼梯1,stair,1,1629,1424
intersection_1,路口1,intersection,1,1873,1430
intersection_2,路口2,intersection,1,1631,1474
stair_2,楼梯2,stair,1,1625,1582
ai_north,人工智能学院北门,entrance,1,1885,1549
ai_south,人工智能学院南门,entrance,1,1795,1731
stair_3,楼梯3,stair,1,2100,1416
intersection_3,路口3,intersection,1,2104,1498
intersection_4,路口4,intersection,1,2111,1571
intersection_5,路口5,intersection,1,1342,1412
lib_north,图书馆北门,entrance,1,1329,1521
stair_4,楼梯4,stair,1,1128,1662
lib_south,图书馆南门,entrance,1,1316,1729
design_college,创意设计学院,college,1,895,1612
materials_college,新材料外国语集成电路与光电芯片学院,college,1,884,1406
health_college,健康与环境工程学院,college,1,855,1923
stair_5,楼梯5,stair,1,876,2036
south_playground,南区操场,playground,1,990,2050
south_canteen,南区食堂,canteen,1,843,2154
stair_6,楼梯6,stair,1,721,2161
south_dormitory,南区宿舍,dormitory,1,928,2339
