from,to,distance,weather
0,1,60,1.5
1,2,36,1.5
2,3,40,1.5
3,4,46,1.5
4,5,28,1.5
5,6,44,1.5
6,7,47,1.5
7,8,67,1.5
0,29,1277,1.5
29,35,43,1
29,32,83,1
30,31,114,1
31,32,88,1
32,33,76,1
33,34,54,1
34,35,76,1
30,35,157,1
30,21,44,1
30,22,66,1
30,23,121,1
31,23,20,1
32,25,36,1
33,24,38,1
34,27,246,1.5
35,26,295,1
21,22,58,1
22,23,89,1
23,24,43,1
24,25,119,1
25,27,102,1.5
27,26,105,1.5
26,8,154,1
8,9,30,1
9,10,54,1
10,11,32,1.5
11,19,115,1.5
19,16,104,1.5
16,44,108,1.5
44,18,65,1.5
18,13,47,1.5
13,12,83,1.5
12,9,133,1
36,37,83,1
37,38,98,1
38,39,176,1
39,40,70,1
40,41,138,1
41,42,48,1
42,43,44,1
39,15,161,1
15,14,85,1
14,13,100,1
15,20,45,1
20,17,76,1
17,16,216,1.5
13,28,63,1
28,26,69,1
28,21,66,1
22,28,123,1
14,24,151,1
20,44,127,1.5
