from,to,distance
E-4留学生外籍教师综合楼,E-00西餐厅,131.51
E-00西餐厅,E-3宿舍,164.3
E-3宿舍,E-2宿舍,117.35
E-2宿舍,学生公寓服务中心,140.87
学生公寓服务中心,E-0食堂,108.65
E-0食堂,E-1校医院,125.0
E-1校医院,拐点12,123.57
拐点12,拐点11,376.32
拐点11,拐点10,59.99
拐点10,拐点9,122.67
拐点9,拐点7,118.41
拐点7,D-2体育馆,126.74
拐点8,D-2体育馆,118.82
拐点6,拐点8,138.57
拐点6,D-1城市交通与物流学院,295.31
拐点7,D-3中德智能建造学院商学院,181.08
D-3中德智能建造学院商学院,拐点5,114.16
拐点5,D-1城市交通与物流学院,91.61
D-1城市交通与物流学院,拐点4,76.7
D-1城市交通与物流学院,C-1人工智能学院,251.48
拐点5,C-4会堂,253.60
拐点4,C-1人工智能学院,246.69
C-4会堂,C-1人工智能学院,143.62
马克思主义学院,C-5-F6,168.24
C-00食堂,C-5-F5,49.61
C-3行政与公共服务中心综合楼,C-5-F5,161.56
C-4会堂,马克思主义学院,261.24
C-4会堂,拐点2,263.99
C-1人工智能学院,拐点3,263.99
拐点2,拐点3,114.06
拐点2,C-2图书馆,323.79
拐点2,马克思主义学院,63.95
马克思主义学院,C-3行政与公共服务中心综合楼,305.85
C-3行政与公共服务中心综合楼,C-2图书馆,152.51
C-3行政与公共服务中心综合楼,新材料与新能源学院外国语学院集成电路与光电芯片学院,530.72
新材料与新能源学院外国语学院集成电路与光电芯片学院,创意设计学院,142.22
创意设计学院,拐点1,103.11
拐点1,C-2图书馆,496.35
拐点1,健康与环境工程学院药学院口腔学院,350.66
健康与环境工程学院药学院口腔学院,A-0食堂,184.73
A-0食堂,拐点0,95.4
拐点11,拐点12,376.32
拐点9,拐点10,122.67
拐点5,D-3中德智能建造学院商学院,114.16
拐点4,D-1城市交通与物流学院,76.7
C-4会堂,拐点2,263.99
C-1人工智能学院,拐点3,263.99
马克思主义学院,拐点2,63.95
C-2图书馆,拐点3,321.11
C-2图书馆,创意设计学院,512.15
