from,to,distance
E-4留学生外籍教师综合楼,E-00西餐厅,131.51
E-00西餐厅,E-3宿舍,164.3
E-3宿舍,E-2宿舍,117.35
E-2宿舍,学生公寓服务中心,140.87
学生公寓服务中心,E-0食堂,108.65
E-0食堂,E-1校医院,125.0
E-1校医院,拐点12,123.57
拐点12,D-2体育馆(北),185.19
D-2体育馆(北),拐点11,173.23
拐点11,拐点10,59.99
拐点10,拐点9,122.67
拐点9,拐点7,118.41
拐点7,D-2体育馆(西),126.74
拐点8,D-2体育馆(西),118.82
拐点6,拐点8,138.57
拐点6,拐点7,18.03
拐点6,D-1城市交通与物流学院,295.31
拐点7,D-3中德智能建造学院商学院,181.08
D-3中德智能建造学院商学院,拐点5,114.16
拐点5,楼梯1,45.99
楼梯1,D-1城市交通与物流学院,45.99
D-1城市交通与物流学院,拐点4,76.7
C-4会堂(南),C-1人工智能学院,143.62
马克思主义学院,F6,168.24
C-00食堂,F5,49.61
C-3行政与公共服务中心综合楼,F5,161.56
C-4会堂(南),马克思主义学院,261.24
C-4会堂(南),拐点2,263.99
C-1人工智能学院,拐点3,263.99
拐点2,拐点3,114.06
拐点3,C-2图书馆,209.87
拐点2,C-2图书馆,323.79
拐点2,马克思主义学院,63.95
马克思主义学院,C-3行政与公共服务中心综合楼,305.85
C-3行政与公共服务中心综合楼,C-2图书馆,152.51
C-3行政与公共服务中心综合楼,新材料与新能源学院外国语学院集成电路与光电芯片学院,530.72
新材料与新能源学院外国语学院集成电路与光电芯片学院,创意设计学院,142.22
创意设计学院,拐点1,103.11
拐点1,楼梯3,258.68
楼梯3,C-2图书馆,237.64
拐点1,健康与环境工程学院药学院口腔学院,350.66
健康与环境工程学院药学院口腔学院,楼梯2,90.77
楼梯2,A-0食堂,93.95
A-0食堂,拐点0,95.4
F2,F3,98.03
F5,F2,98.06
F6,F1,222.09
F1,F2,386.05
F1,F4,249.92
F4,F8,73.77
F3,F4,215.60
F3,F7,129.04
F7,F8,276.13
F8,F10,119.51
F7,F9,66.23
F9,F10,231.28
F10,拐点14,88.17
拐点14,拐点15,646.55
F9,先进材料测试技术研究中心工程物理学院,459.54
先进材料测试技术研究中心工程物理学院,1034酒店,251.57
1034酒店,国际学术交流中心,51.14
C-4会堂(北),拐点13,105.63
C-4会堂(北),F1,89.05
F1,竹韵食堂,75.39
竹韵食堂,拐点13,81.35
拐点13,拐点5,147.13
拐点13,拐点9,430.28
E-4留学生外籍教师综合楼,拐点15,600.94
