id,name,x,y
0,E-4,2642,494
1,E-00,2769,623
2,E-3,2877,639
3,E-2,2872,759
4,学生公寓服务中心,2877,898
5,E-0,2867,982
6,E-1,2874,1115
7,田径场,2785,1227
8,D-2体育馆,2583,1239
9,拐点1,2493,1244
10,拐点2,2500,1407
11,拐点3,2515,1502
12,拐点4,2127,1407
13,拐点5,1876,1403
14,拐点6,1574,1415
15,拐点7,1320,1395
16,拐点8,1972,1771
17,拐点9,1320,1762
18,拐点10,1873,1545
19,D-1城市交通与物流学院,2169,1528
20,C-2图书馆,1315,1532
21,C-4会堂,1734,1281
22,马克思主义学院C-0食堂,1565,1322
23,C-3,1320,1210
24,C-00食堂,1233,1116
25,演播厅,1578,1020
26,D-3中德智能制造学院,2121,1275
27,竹韵食堂,1881,1068
28,路口1,1922,1219
29,路口2,1437,700
30,F1,1681,1160
31,F2,1338,1152
32,F3,1501,943
33,F4,1282,1011
34,F5,1157,908
35,F6,1363,808
36,1034酒店,434,1055
37,B-4工程物理学院,682,1026
38,B-3国际学术交流中心,398,1104
39,B-2新材料与新能源学院/外国语学院/集成电路与光电芯片学院,835,1406
40,B-1创意设计学院,856,1617
41,A-2健康与环境工程学院/药学院/口腔学院,857,2032
42,A-0食堂,777,2152
43,A-1宿舍,778,2286
44,C-1大数据与互联网学院/质量和标准学院/聚龙学院,1688,1612
