name,x,y
E-4留学生外籍教师综合楼,2683,471
E-00西餐厅,2754,572
E-3宿舍,2884,655
E-2宿舍,2868,764
学生公寓服务中心,2860,896
E-0食堂,2860,998
E-1校医院,2869,1115
拐点12,2868,1231
拐点11,2515,1245
拐点10,2509,1301
拐点9,2394,1295
拐点7,2388,1406
拐点8,2518,1517
D-2体育馆,2507,1406
拐点6,2388,1511
D-3中德智能建造学院商学院,2218,1407
拐点5,2111,1413
D-1城市交通与物流学院,2111,1499
拐点4,2112,1571
C-4会堂,1873,1420
C-5-F6,1638,1251
C-00食堂,1273,1237
C-5-F5,1318,1249
马克思主义学院,1628,1409
C-1人工智能学院,1881,1555
拐点2,1630,1469
拐点3,1634,1576
C-3行政与公共服务中心综合楼,1342,1399
C-2图书馆,1335,1542
新材料与新能源学院外国语学院集成电路与光电芯片学院,843,1409
创意设计学院,823,1541
拐点1,876,1622
健康与环境工程学院药学院口腔学院,865,1951
A-0食堂,853,2124
拐点0,764,2134
