start_id,end_id,start_name,end_name,distance,direction,path_type
hall_east,intersection_2,会堂东门,路口2,120,西南,direct
hall_east,stair_1,会堂东门,楼梯1,160,南,direct
hall_south,intersection_2,会堂南门,路口2,80,北,direct
hall_south,intersection_1,会堂南门,路口1,150,东,direct
stair_1,intersection_2,楼梯1,路口2,50,东南,direct
stair_1,ai_north,楼梯1,人工智能学院北门,250,东,direct
intersection_1,ai_north,路口1,人工智能学院北门,60,南,direct
intersection_1,intersection_3,路口1,路口3,230,东,direct
intersection_2,ai_south,路口2,人工智能学院南门,120,南,direct
intersection_2,stair_2,路口2,楼梯2,80,南,direct
stair_2,ai_south,楼梯2,人工智能学院南门,60,东南,direct
ai_north,ai_south,人工智能学院北门,人工智能学院南门,200,南,direct
ai_south,intersection_3,人工智能学院南门,路口3,250,东,direct
stair_3,intersection_3,楼梯3,路口3,50,南,direct
intersection_3,intersection_4,路口3,路口4,80,南,direct
intersection_4,intersection_5,路口4,路口5,380,西,direct
intersection_5,lib_north,路口5,图书馆北门,30,南,direct
lib_north,lib_south,图书馆北门,图书馆南门,200,南,direct
lib_south,stair_4,图书馆南门,楼梯4,200,西,direct
stair_4,design_college,楼梯4,创意设计学院,180,西南,direct
design_college,materials_college,创意设计学院,新材料外国语集成电路与光电芯片学院,250,北,direct
materials_college,intersection_5,新材料外国语集成电路与光电芯片学院,路口5,450,东北,direct
design_college,south_playground,创意设计学院,南区操场,350,南,direct
south_playground,south_canteen,南区操场,南区食堂,150,西南,direct
south_playground,stair_5,南区操场,楼梯5,80,西,direct
south_canteen,south_dormitory,南区食堂,南区宿舍,120,东,direct
south_canteen,stair_6,南区食堂,楼梯6,100,西,direct
south_dormitory,stair_6,南区宿舍,楼梯6,180,西北,direct
stair_5,health_college,楼梯5,健康与环境工程学院,60,南,direct
health_college,south_canteen,健康与环境工程学院,南区食堂,300,东南,direct
intersection_2,intersection_5,路口2,路口5,300,西,direct
ai_south,south_playground,人工智能学院南门,南区操场,450,西南,direct
